DATE,GDPPOT_GDPC1_GDPDEF_PC1
1955-01-01,3.48080315083125191200
1955-04-01,4.46118357639587601500
1955-07-01,5.68624519384959150900
1955-10-01,6.75188234842597261800
1956-01-01,7.03016159453534972800
1956-04-01,7.40465961643921574600
1956-07-01,7.87852412744373089300
1956-10-01,7.45551418152778816400
1957-01-01,7.96494252567734195800
1957-04-01,7.60475495872288879400
1957-07-01,6.65685779945346810600
1957-10-01,5.16803804269988932100
1958-01-01,3.01174006408878399000
1958-04-01,2.27795936451204621700
1958-07-01,2.98556930732480459300
1958-10-01,4.29639222498495567700
1959-01-01,3.47165024868753143700
1959-04-01,3.89567224681547179800
1959-07-01,3.05696688350994542500
1959-10-01,2.54162043841576046700
1960-01-01,3.37328627993246386300
1960-04-01,2.73477381408015577400
1960-07-01,2.41466609497260874800
1960-10-01,1.17413013392375981600
1961-01-01,0.78037782461222280500
1961-04-01,1.14089248374511379300
1961-07-01,1.50198922952196707100
1961-10-01,2.03492511707693942600
1962-01-01,2.87918211959908276700
1962-04-01,2.70731678211861552200
1962-07-01,2.69831651617280902800
1962-10-01,2.14957758333701025900
1963-01-01,2.01852413593755617300
1963-04-01,2.05199084047713514200
1963-07-01,2.48732853188891012900
1963-10-01,3.19319209340088373500
1964-01-01,3.52749974856909470900
1964-04-01,3.60589320363459974000
1964-07-01,4.24316316065804368800
1964-10-01,3.30576005281393923200
1965-01-01,4.23407920660310628700
1965-04-01,4.68370469098596318100
1965-07-01,5.23262053885035785600
1965-10-01,6.20887673214454609500
1966-01-01,7.11931772658657091600
1966-04-01,7.28450636660705449900
1966-07-01,8.05327852228601229400
1966-10-01,8.15136176472319302600
1967-01-01,7.69798680564326277500
1967-04-01,6.67174744672725546800
1967-07-01,6.56124538110035284700
1967-10-01,6.78424440025565414100
1968-01-01,8.30050413436899945800
1968-04-01,9.43367789540131562900
1968-07-01,9.29122528412413444300
1968-10-01,9.38407366906451492100
1969-01-01,9.52227300784818649500
1969-04-01,9.49317999271409000600
1969-07-01,10.01041777320837246100
1969-10-01,9.11416347456476840900
1970-01-01,9.20181543507643584300
1970-04-01,9.05775237454254928400
1970-07-01,8.20673295030660488400
1970-10-01,7.34429655682857824300
1971-01-01,8.43697024502555757300
1971-04-01,8.16420850468870474500
1971-07-01,8.44949083551775423100
1971-10-01,7.38020160872120458200
1972-01-01,7.87706142214609558700
1972-04-01,7.53394814548498838400
1972-07-01,7.52859465432991074200
1972-10-01,8.67196316139874445600
1973-01-01,8.95859811587120026500
1973-04-01,10.51518323967570009400
1973-07-01,11.35059580953226964600
1973-10-01,12.51844167233817648900
1974-01-01,12.79985257445414942900
1974-04-01,13.79285659247966972500
1974-07-01,14.47616802912417733500
1974-10-01,15.40818649761723694600
1975-01-01,15.05862253626166102400
1975-04-01,13.59484603169974602400
1975-07-01,12.16453811174432753200
1975-10-01,10.42861225814447333500
1976-01-01,9.22658575189973960000
1976-04-01,8.46484099247257263500
1976-07-01,7.62201429165237817600
1976-10-01,7.78180233675488123700
1977-01-01,8.83149824169595167600
1977-04-01,10.01506788147388583100
1977-07-01,10.37646933973683894700
1977-10-01,10.53528332638019910000
1978-01-01,10.02627349493610399400
1978-04-01,12.28662361991147198500
1978-07-01,13.11411661223661350500
1978-10-01,13.16067388261771391600
1979-01-01,13.37818269299524272500
1979-04-01,13.83957897889886407900
1979-07-01,14.57621294391682853100
1979-10-01,14.01407979132889539000
1980-01-01,14.27130568780911617400
1980-04-01,12.83580489394578012300
1980-07-01,12.60161968237410067100
1980-10-01,14.43944488910190906100
1981-01-01,15.97781195443204219700
1981-04-01,14.65271009786826158600
1981-07-01,14.33875189439526525700
1981-10-01,12.05568678369897128100
1982-01-01,8.96205681844996079100
1982-04-01,7.74871335278304302100
1982-07-01,6.48859422880091565700
1982-10-01,5.07083882095800147500
1983-01-01,4.35938673730687547200
1983-04-01,4.18615727925110754400
1983-07-01,4.20265815516065991800
1983-10-01,4.37030592244451454600
1984-01-01,5.29556181677795982100
1984-04-01,5.88230866213959304400
1984-07-01,5.64693648756164105900
1984-10-01,5.59107126951002705100
1985-01-01,5.58506407696376983500
1985-04-01,5.24897061456533264400
1985-07-01,5.12100755266115107800
1985-10-01,4.76430183034328676500
1986-01-01,4.04728872959958400600
1986-04-01,3.44560941790484794700
1986-07-01,3.20613242457637592500
1986-10-01,3.03978429290370842900
1987-01-01,3.21767905242271586900
1987-04-01,3.82821516786308040200
1987-07-01,4.39379693647510113900
1987-10-01,5.23173737554975078200
1988-01-01,5.31937271038345965600
1988-04-01,6.01098865404795221200
1988-07-01,6.58869723330584682500
1988-10-01,6.96571084162304184800
1989-01-01,7.48790902155779786700
1989-04-01,7.62949270469381408400
1989-07-01,6.94697929296527655100
1989-10-01,6.42877803241467677100
1990-01-01,6.65607844250705537900
1990-04-01,6.55986345967155884500
1990-07-01,6.44180299670701734600
1990-10-01,5.71262651248711411000
1991-01-01,5.01796786517642716200
1991-04-01,4.49902014833658000400
1991-07-01,4.33818675247772383300
1991-10-01,3.98437253424098726800
1992-01-01,3.34348366310248202700
1992-04-01,3.37737106130073486000
1992-07-01,3.11639485183335403100
1992-10-01,3.47108094890851002000
1993-01-01,3.54125336469273331200
1993-04-01,3.50955548901756251100
1993-07-01,3.59278583158681109000
1993-10-01,3.72609923546773982200
1994-01-01,3.76111415273979060500
1994-04-01,3.93764427583126699300
1994-07-01,3.87291434489135307700
1994-10-01,4.10751191937310577000
1995-01-01,4.05334962173295871500
1995-04-01,3.86578340869460719700
1995-07-01,3.83049807775954006700
1995-10-01,3.73580440312936624500
1996-01-01,3.66705759030544700200
1996-04-01,4.02801526675646026800
1996-07-01,3.83287502126601479500
1996-10-01,4.01462663891865922200
1997-01-01,4.07714946068344474800
1997-04-01,4.12196395528705396100
1997-07-01,4.43477222328616279700
1997-10-01,4.06406470831591815700
1998-01-01,3.37038343120306873100
1998-04-01,3.36978487646167204200
1998-07-01,3.45002196191876480400
1998-10-01,3.64147980930627284100
1999-01-01,3.84204158647520151700
1999-04-01,3.92313830145014752900
1999-07-01,3.92989956786227056200
1999-10-01,4.61204167324080628700
2000-01-01,4.75397276675789970600
2000-04-01,5.51085876699386795700
2000-07-01,5.40816939199927858800
2000-10-01,5.21240746921451635800
2001-01-01,4.60254241420025143600
2001-04-01,4.47220662843931808500
2001-07-01,3.60215534973451812100
2001-10-01,3.04088190867492383700
2002-01-01,2.58952532821059077900
2002-04-01,2.18782068460264843300
2002-07-01,2.20637227359910842000
2002-10-01,2.36691794301115551000
2003-01-01,2.58779352587043459900
2003-04-01,2.72043699033126963700
2003-07-01,3.36945249627610597900
2003-10-01,3.67722898095287759100
2004-01-01,3.98753791117702606800
2004-04-01,4.75057698944259054300
2004-07-01,4.99330544190102534500
2004-10-01,5.42872169108437292000
2005-01-01,5.79369531515443787900
2005-04-01,5.59782133324493030600
2005-07-01,6.11393405026555207300
2005-10-01,6.17129485684835225600
2006-01-01,6.42200682164233551600
2006-04-01,6.51291273709966582500
2006-07-01,6.00083859757303223300
2006-10-01,5.47459232568548063500
2007-01-01,5.74988564433556739300
2007-04-01,5.53589356047697686700
2007-07-01,5.34123481041410476800
2007-10-01,5.47848556703220555200
2008-01-01,4.12962874471277369300
2008-04-01,3.86797897536734598500
2008-07-01,3.69143524877353668300
2008-10-01,2.14717425837200777600
2009-01-01,0.72496074819964845300
2009-04-01,-0.52159439840735389300
2009-07-01,-1.47393421007238673800
2009-10-01,-1.01427545516735818200
2010-01-01,-0.39779166660153457100
2010-04-01,0.88260810458709650000
2010-07-01,1.35432415050001287400
2010-10-01,1.82203748187075583800
2011-01-01,1.85758449543449106000
2011-04-01,2.24727072779567371700
2011-07-01,2.48916848870048937000
2011-10-01,2.11482017013817053700
2012-01-01,2.42302586688166329700
2012-04-01,2.04740955292067590100
2012-07-01,1.82090642723366207900
2012-10-01,2.24314601796674171400
2013-01-01,2.20914263310478613900
2013-04-01,1.81832064456284321100
2013-07-01,1.92003761870906155200
2013-10-01,2.16241538852971326500
2014-01-01,1.74487904718947176600
2014-04-01,2.67716873778698726200
2014-07-01,2.91907272898932033900
2014-10-01,2.28341403768374581800
2015-01-01,1.83538506063668635400
2015-04-01,1.92147972309276244400
2015-07-01,1.66796841432758874400
2015-10-01,1.37775572945931749700
2016-01-01,1.38745255415065465900
2016-04-01,1.47908519214081856200
2016-07-01,1.58976342779640084800
2016-10-01,2.37445962305589011400
2017-01-01,3.29851862649410501400
2017-04-01,2.71243505636898802800
2017-07-01,3.25975117603147373300
2017-10-01,3.77586321744444059700
2018-01-01,4.12438260328747720700
2018-04-01,4.81355217874645763300
2018-07-01,4.74045585251668853200
2018-10-01,4.27008160033716651000
2019-01-01,3.80806858070689276700
2019-04-01,3.67314208168795389300
2019-07-01,3.82221689846640527000
2019-10-01,3.72742094924138088600
2020-01-01,3.02167989821382376700
2020-04-01,-2.46849361658673949500
2020-07-01,1.69497489006121273900
2020-10-01,2.54601530148384603800
2021-01-01,4.22355373694479026300
2021-04-01,7.73621640025920978000
2021-07-01,8.90526562046900797200
2021-10-01,11.22545578845386641700
2022-01-01,12.04173991719206001600
2022-04-01,12.95479873081068598800
2022-07-01,12.43470124932123871600
2022-10-01,11.30262973154668472300
2023-01-01,9.63895470398862743400
2023-04-01,6.89085918662723815500
2023-07-01,6.66516124448436507500
2023-10-01,5.98246187287937053400
2024-01-01,5.68132880221929656200
